"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-02,"UA","ANC","Anchorage, AK","DEN","Denver, CO","2325",-2.00,0.00,"0608",-38.00,0.00,0.00,,,,,,
2017-12-02,"UA","DEN","Denver, CO","ANC","Anchorage, AK","1145",-6.00,0.00,"1540",4.00,4.00,0.00,,,,,,
2017-12-02,"AS","ADQ","Kodiak, AK","ANC","Anchorage, AK","1655",-9.00,0.00,"1735",-19.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","BET","Bethel, AK","1015",-5.00,0.00,"1208",32.00,32.00,0.00,0.00,0.00,32.00,0.00,0.00,
2017-12-02,"AS","BET","Bethel, AK","ANC","Anchorage, AK","1225",14.00,14.00,"1351",18.00,18.00,0.00,0.00,0.00,4.00,0.00,14.00,
2017-12-02,"AS","ANC","Anchorage, AK","BET","Bethel, AK","1847",0.00,0.00,"2009",1.00,1.00,0.00,,,,,,
2017-12-02,"AS","BET","Bethel, AK","ANC","Anchorage, AK","2051",-3.00,0.00,"2151",-8.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","ADQ","Kodiak, AK","1508",-11.00,0.00,"1600",-6.00,0.00,0.00,,,,,,
2017-12-02,"AS","SCC","Deadhorse, AK","BRW","Barrow, AK","1725",-27.00,0.00,"1746",-28.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","SCC","Deadhorse, AK","1444",0.00,0.00,"1620",-8.00,0.00,0.00,,,,,,
2017-12-02,"AS","BRW","Barrow, AK","ANC","Anchorage, AK","1909",-16.00,0.00,"2047",-11.00,0.00,0.00,,,,,,
2017-12-02,"AS","FAI","Fairbanks, AK","ANC","Anchorage, AK","1413",-4.00,0.00,"1510",-10.00,0.00,0.00,,,,,,
2017-12-02,"AS","SCC","Deadhorse, AK","BRW","Barrow, AK","1010",-2.00,0.00,"1101",-3.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","SCC","Deadhorse, AK","0732",-1.00,0.00,"0930",14.00,14.00,0.00,,,,,,
2017-12-02,"AS","BRW","Barrow, AK","FAI","Fairbanks, AK","1154",-13.00,0.00,"1303",-15.00,0.00,0.00,,,,,,
